шоколад, Германия, 20 тонн, 12340000 рублей
зерно, Австралия, 10 тонн, 1250000 рублей
яблоки, Аргентина, 30 тонн, 500000 рублей
шоколад, Австралия, 15 тонн, 1000000 рублей
рыба, Аргентина, 10 тонн, 14850000 рублей
зерно, Германия, 5 тонн, 12340000 рублей
шоколад, Аргентина, 50 тонн, 1250000 рублей
груши, Аргентина, 20 тонн, 1000000 рублей
хлеб, Австрия, 5 тонн, 500000 рублей
рыба, Аргентина, 20 тонн, 500000 рублей
рыба, Германия, 5 тонн, 7050000 рублей
груши, Германия, 15 тонн, 1000000 рублей
масло, Австрия, 10 тонн, 12340000 рублей
масло, Германия, 10 тонн, 12340000 рублей
зерно, Китай, 20 тонн, 7050000 рублей
зерно, Китай, 50 тонн, 1250000 рублей
яблоки, Венгрия, 30 тонн, 12340000 рублей
зерно, Австралия, 15 тонн, 14850000 рублей
яблоки, Перу, 50 тонн, 1250000 рублей
зерно, Австралия, 15 тонн, 1000000 рублей
шоколад, США, 1 тонна, 12340000 рублей
яблоки, США, 15 тонн, 1000000 рублей
зерно, Аргентина, 20 тонн, 12340000 рублей
зерно, Перу, 20 тонн, 1250000 рублей
хлеб, Австрия, 15 тонн, 12340000 рублей
рыба, Аргентина, 20 тонн, 1250000 рублей
груши, США, 2 тонны, 1250000 рублей
шоколад, Перу, 5 тонн, 1000000 рублей
зерно, Аргентина, 15 тонн, 14850000 рублей
груши, Австралия, 30 тонн, 1000000 рублей
яблоки, Аргентина, 5 тонн, 1000000 рублей
шоколад, США, 10 тонн, 12340000 рублей
груши, Перу, 5 тонн, 14850000 рублей
яблоки, Китай, 10 тонн, 1000000 рублей
рыба, Германия, 10 тонн, 1000000 рублей
шоколад, Аргентина, 20 тонн, 1000000 рублей
шоколад, Венгрия, 1 тонна, 12340000 рублей
шоколад, Аргентина, 2 тонны, 12340000 рублей
хлеб, Австрия, 5 тонн, 1250000 рублей
масло, Австралия, 15 тонн, 500000 рублей
масло, Китай, 1 тонна, 1000000 рублей
масло, Перу, 10 тонн, 1000000 рублей
зерно, Китай, 5 тонн, 500000 рублей
яблоки, Китай, 50 тонн, 500000 рублей
шоколад, Венгрия, 30 тонн, 12340000 рублей
зерно, США, 10 тонн, 1000000 рублей
груши, Перу, 30 тонн, 500000 рублей
хлеб, Австрия, 5 тонн, 12340000 рублей
масло, Перу, 10 тонн, 12340000 рублей
рыба, Перу, 20 тонн, 1000000 рублей
хлеб, Перу, 10 тонн, 7050000 рублей
груши, Венгрия, 2 тонны, 14850000 рублей
масло, Германия, 20 тонн, 7050000 рублей
масло, Австралия, 1 тонна, 7050000 рублей
хлеб, Германия, 2 тонны, 7050000 рублей
груши, Китай, 30 тонн, 1250000 рублей
масло, Австралия, 2 тонны, 500000 рублей
зерно, Китай, 1 тонна, 12340000 рублей
рыба, США, 2 тонны, 1250000 рублей
масло, Австралия, 30 тонн, 1250000 рублей
рыба, Австралия, 50 тонн, 12340000 рублей
яблоки, Китай, 50 тонн, 1000000 рублей
зерно, Германия, 10 тонн, 14850000 рублей
груши, Перу, 5 тонн, 14850000 рублей
рыба, Аргентина, 5 тонн, 1250000 рублей
груши, Германия, 1 тонна, 1250000 рублей
зерно, Австрия, 30 тонн, 14850000 рублей
шоколад, Германия, 50 тонн, 12340000 рублей
хлеб, США, 30 тонн, 1000000 рублей
масло, Австрия, 5 тонн, 12340000 рублей
масло, Перу, 10 тонн, 7050000 рублей
масло, Австралия, 30 тонн, 500000 рублей
шоколад, Австралия, 10 тонн, 500000 рублей
рыба, Аргентина, 5 тонн, 1250000 рублей
шоколад, США, 20 тонн, 7050000 рублей
рыба, Австралия, 5 тонн, 12340000 рублей
рыба, Китай, 50 тонн, 1250000 рублей
груши, Перу, 5 тонн, 1000000 рублей
хлеб, Аргентина, 20 тонн, 1250000 рублей
зерно, Китай, 10 тонн, 1000000 рублей
масло, Австрия, 5 тонн, 500000 рублей
рыба, Австрия, 50 тонн, 1250000 рублей
зерно, Перу, 1 тонна, 12340000 рублей
рыба, Перу, 10 тонн, 14850000 рублей
хлеб, Аргентина, 5 тонн, 12340000 рублей
хлеб, Австрия, 20 тонн, 14850000 рублей
хлеб, Австралия, 50 тонн, 12340000 рублей
рыба, Германия, 1 тонна, 7050000 рублей
масло, Германия, 30 тонн, 7050000 рублей
яблоки, Китай, 1 тонна, 14850000 рублей
масло, Австралия, 30 тонн, 14850000 рублей
зерно, Перу, 1 тонна, 500000 рублей
шоколад, Австралия, 50 тонн, 12340000 рублей
груши, Китай, 1 тонна, 1250000 рублей
рыба, Китай, 10 тонн, 500000 рублей
масло, Китай, 10 тонн, 1000000 рублей
рыба, Китай, 50 тонн, 500000 рублей
шоколад, Китай, 5 тонн, 1250000 рублей
груши, Китай, 50 тонн, 12340000 рублей
шоколад, Венгрия, 30 тонн, 1000000 рублей
рыба, Венгрия, 15 тонн, 14850000 рублей
шоколад, Германия, 5 тонн, 14850000 рублей
шоколад, Германия, 20 тонн, 1250000 рублей
рыба, Венгрия, 1 тонна, 1250000 рублей
шоколад, Китай, 20 тонн, 500000 рублей
рыба, Аргентина, 10 тонн, 7050000 рублей
шоколад, Китай, 10 тонн, 500000 рублей
рыба, Венгрия, 2 тонны, 14850000 рублей
яблоки, Перу, 2 тонны, 1000000 рублей
шоколад, Аргентина, 50 тонн, 1250000 рублей
шоколад, США, 2 тонны, 14850000 рублей
груши, США, 1 тонна, 14850000 рублей
масло, Китай, 2 тонны, 7050000 рублей
