Сгущенка, Китай, 5 тонн, 1000000 рублей
Петрушка, Австралия, 1 тонна, 1000000 рублей
Морковь, Австралия, 1 тонна, 500000 рублей
рыба, Венгрия, 15 тонн, 14850000 рублей
Чеснок, Китай, 1 тонна, 12340000 рублей
Чеснок, Аргентина, 20 тонн, 1250000 рублей
масло, Венгрия, 10 тонн, 14850000 рублей
Масло сливочное, Венгрия, 20 тонн, 1250000 рублей
Горчица, Аргентина, 50 тонн, 500000 рублей
Кефир, Перу, 50 тонн, 1000000 рублей
Курица (бедра или окорочка), Аргентина, 20 тонн, 1000000 рублей
шоколад, Австралия, 50 тонн, 500000 рублей
Сахар коричневый, США, 30 тонн, 14850000 рублей
Суповой набор куриный, Австрия, 5 тонн, 14850000 рублей
Петрушка, Австрия, 20 тонн, 1250000 рублей
Лимон, Аргентина, 5 тонн, 1000000 рублей
Томатная паста, Аргентина, 50 тонн, 14850000 рублей
шоколад, Перу, 1 тонна, 500000 рублей
Баллончик со сливками, США, 50 тонн, 12340000 рублей
Фрикадельки (домашний полуфабрикат), Венгрия, 20 тонн, 1250000 рублей
Масло растительное, Германия, 1 тонна, 14850000 рублей
Картофель, Австрия, 50 тонн, 12340000 рублей
Картофель, Китай, 1 тонна, 1000000 рублей
Сыр, Германия, 5 тонн, 14850000 рублей
Стручковая фасоль, Германия, 1 тонна, 12340000 рублей
Панировочные сухари, Австралия, 20 тонн, 1250000 рублей
Консервированная кукуруза, Венгрия, 5 тонн, 12340000 рублей
Чеснок, Китай, 20 тонн, 12340000 рублей
Консервированный горошек, Китай, 20 тонн, 7050000 рублей
масло, Перу, 10 тонн, 12340000 рублей
Суповой набор куриный, Аргентина, 10 тонн, 7050000 рублей
яблоки, Китай, 20 тонн, 1250000 рублей
Консервированная кукуруза, США, 30 тонн, 500000 рублей
Сахар коричневый, Германия, 20 тонн, 500000 рублей
Томатная паста, Германия, 20 тонн, 12340000 рублей
Кошачий корм, Германия, 20 тонн, 7050000 рублей
Суповой набор мясной, Китай, 5 тонн, 500000 рублей
Панировочные сухари, Китай, 20 тонн, 12340000 рублей
Баллончик со сливками, Австралия, 20 тонн, 7050000 рублей
груши, Австрия, 20 тонн, 1000000 рублей
зерно, Австрия, 1 тонна, 12340000 рублей
Масло сливочное, Австралия, 10 тонн, 7050000 рублей
Масло сливочное, Венгрия, 50 тонн, 500000 рублей
Морковь, Австралия, 1 тонна, 14850000 рублей
Суповой набор куриный, Аргентина, 20 тонн, 1000000 рублей
Рыбная консерва, Аргентина, 15 тонн, 1000000 рублей
Петрушка, Германия, 50 тонн, 1250000 рублей
Петрушка, Аргентина, 50 тонн, 7050000 рублей
Горчица, Венгрия, 15 тонн, 14850000 рублей
шоколад, США, 5 тонн, 1250000 рублей
Морковь, Венгрия, 50 тонн, 12340000 рублей
Курица (бедра или окорочка), Китай, 10 тонн, 1000000 рублей
шоколад, США, 50 тонн, 14850000 рублей
Масло сливочное, США, 30 тонн, 500000 рублей
Детское питание 7 банок, Австрия, 2 тонны, 1000000 рублей
Баллончик со сливками, Австрия, 10 тонн, 7050000 рублей
Петрушка, Германия, 5 тонн, 14850000 рублей
Фрикадельки (домашний полуфабрикат), Перу, 20 тонн, 7050000 рублей
шоколад, Аргентина, 5 тонн, 500000 рублей
Томатная паста, Перу, 30 тонн, 1250000 рублей
Горчица, Австрия, 5 тонн, 7050000 рублей
