Томатная паста, Венгрия, 2 тонны, 7050000 рублей
Сметана, Перу, 10 тонн, 14850000 рублей
Котлеты (домашний полуфабрикат), США, 5 тонн, 7050000 рублей
Творог, Германия, 1 тонна, 500000 рублей
Горчица, США, 15 тонн, 1250000 рублей
Панировочные сухари, Германия, 1 тонна, 500000 рублей
Масло сливочное, Австралия, 15 тонн, 12340000 рублей
Сахар коричневый, Перу, 5 тонн, 12340000 рублей
Кошачий корм, Венгрия, 30 тонн, 1000000 рублей
Горчица, Китай, 2 тонны, 12340000 рублей
Консервированная кукуруза, Китай, 5 тонн, 14850000 рублей
Суповой набор куриный, США, 15 тонн, 14850000 рублей
груши, Австрия, 2 тонны, 12340000 рублей
Горчица, Венгрия, 1 тонна, 1000000 рублей
Стручковая фасоль, Австралия, 1 тонна, 500000 рублей
хлеб, Перу, 20 тонн, 1000000 рублей
зерно, Австрия, 5 тонн, 14850000 рублей
Фрикадельки (домашний полуфабрикат), Германия, 30 тонн, 500000 рублей
Масло сливочное, Аргентина, 1 тонна, 1250000 рублей
Баллончик со сливками, Австрия, 5 тонн, 500000 рублей
Консервированный горошек, Аргентина, 50 тонн, 7050000 рублей
Панировочные сухари, Австралия, 30 тонн, 1000000 рублей
Курица (бедра или окорочка), Перу, 10 тонн, 14850000 рублей
Суповой набор мясной, Австралия, 2 тонны, 7050000 рублей
Суповой набор куриный, Венгрия, 10 тонн, 500000 рублей
Консервированный горошек, Перу, 2 тонны, 1250000 рублей
Сметана, Китай, 10 тонн, 1000000 рублей
Сахар коричневый, Австрия, 2 тонны, 500000 рублей
Масло растительное, Австрия, 20 тонн, 14850000 рублей
Детское питание 7 банок, Австралия, 50 тонн, 12340000 рублей
Сыр, Австрия, 50 тонн, 12340000 рублей
Масло сливочное, Австрия, 1 тонна, 1250000 рублей
Суповой набор мясной, Китай, 10 тонн, 1000000 рублей
Суповой набор мясной, Германия, 5 тонн, 1000000 рублей
Суповой набор мясной, Аргентина, 1 тонна, 7050000 рублей
Стручковая фасоль, Китай, 30 тонн, 1250000 рублей
яблоки, Венгрия, 20 тонн, 500000 рублей
масло, Китай, 1 тонна, 12340000 рублей
Чеснок, Германия, 15 тонн, 12340000 рублей
Кефир, Австралия, 15 тонн, 500000 рублей
Горчица, Австрия, 5 тонн, 12340000 рублей
Молоко детское, Венгрия, 50 тонн, 12340000 рублей
груши, Аргентина, 10 тонн, 14850000 рублей
Котлеты (домашний полуфабрикат), Австрия, 50 тонн, 500000 рублей
зерно, Германия, 50 тонн, 14850000 рублей
Стручковая фасоль, Венгрия, 2 тонны, 1000000 рублей
Творог, США, 30 тонн, 1250000 рублей
Панировочные сухари, Аргентина, 5 тонн, 7050000 рублей
Картофель, Китай, 30 тонн, 12340000 рублей
Лимон, США, 2 тонны, 14850000 рублей
Горчица, Австралия, 50 тонн, 7050000 рублей
Морковь, США, 10 тонн, 14850000 рублей
Петрушка, Германия, 15 тонн, 500000 рублей
Лимон, Германия, 30 тонн, 7050000 рублей
зерно, Германия, 20 тонн, 7050000 рублей
Баллончик со сливками, Австрия, 15 тонн, 12340000 рублей
Сгущенка, Перу, 2 тонны, 500000 рублей
Масло растительное, Германия, 20 тонн, 500000 рублей
Сахар коричневый, Германия, 10 тонн, 500000 рублей
Сахар коричневый, Перу, 2 тонны, 1000000 рублей
груши, Аргентина, 5 тонн, 7050000 рублей
Кефир, Австралия, 30 тонн, 500000 рублей
груши, Венгрия, 2 тонны, 1250000 рублей
Творог, Китай, 20 тонн, 500000 рублей
Петрушка, Германия, 5 тонн, 1250000 рублей
