Морковь, Китай, 5 тонн, 7050000 рублей
Сметана, Германия, 2 тонны, 7050000 рублей
Суповой набор мясной, Германия, 10 тонн, 12340000 рублей
Сахар коричневый, США, 50 тонн, 1250000 рублей
зерно, Перу, 15 тонн, 7050000 рублей
Суповой набор мясной, США, 15 тонн, 14850000 рублей
масло, Германия, 5 тонн, 12340000 рублей
Сметана, Аргентина, 50 тонн, 1000000 рублей
Сметана, Австралия, 20 тонн, 1250000 рублей
Масло сливочное, Австралия, 50 тонн, 12340000 рублей
Молоко детское, Австралия, 20 тонн, 1250000 рублей
яблоки, Аргентина, 1 тонна, 7050000 рублей
Масло сливочное, Венгрия, 2 тонны, 500000 рублей
Петрушка, Перу, 30 тонн, 14850000 рублей
Фрикадельки (домашний полуфабрикат), Австрия, 15 тонн, 500000 рублей
Картофель, Аргентина, 50 тонн, 1250000 рублей
зерно, Австралия, 10 тонн, 12340000 рублей
Чеснок, Китай, 15 тонн, 12340000 рублей
Суповой набор куриный, Перу, 20 тонн, 7050000 рублей
Консервированный горошек, Австралия, 15 тонн, 500000 рублей
Суповой набор мясной, Германия, 1 тонна, 1000000 рублей
Картофель, Австрия, 20 тонн, 1250000 рублей
Молоко детское, Перу, 5 тонн, 7050000 рублей
Баллончик со сливками, Аргентина, 5 тонн, 7050000 рублей
Детское питание 7 банок, Венгрия, 30 тонн, 1250000 рублей
Петрушка, Австралия, 1 тонна, 1250000 рублей
зерно, Венгрия, 5 тонн, 7050000 рублей
Суповой набор мясной, Венгрия, 20 тонн, 12340000 рублей
Панировочные сухари, Перу, 15 тонн, 1000000 рублей
Сахар коричневый, Перу, 5 тонн, 1000000 рублей
груши, Германия, 20 тонн, 1250000 рублей
Сахар коричневый, Китай, 50 тонн, 1000000 рублей
Сахар коричневый, США, 1 тонна, 1250000 рублей
хлеб, США, 15 тонн, 1250000 рублей
Лимон, Германия, 20 тонн, 7050000 рублей
Масло сливочное, Перу, 2 тонны, 500000 рублей
зерно, Аргентина, 2 тонны, 12340000 рублей
Горчица, США, 20 тонн, 12340000 рублей
Сметана, Австралия, 30 тонн, 1000000 рублей
Горчица, Венгрия, 50 тонн, 14850000 рублей
Суповой набор мясной, Китай, 10 тонн, 7050000 рублей
Фрикадельки (домашний полуфабрикат), Германия, 1 тонна, 1250000 рублей
груши, Аргентина, 2 тонны, 1000000 рублей
Детское питание 7 банок, Аргентина, 10 тонн, 1000000 рублей
Сыр, Перу, 2 тонны, 14850000 рублей
Малиновое варенье, Китай, 5 тонн, 1250000 рублей
Рыбная консерва, Австралия, 1 тонна, 14850000 рублей
Стручковая фасоль, США, 20 тонн, 500000 рублей
Котлеты (домашний полуфабрикат), Перу, 5 тонн, 14850000 рублей
Петрушка, Австралия, 30 тонн, 14850000 рублей
Горчица, Австрия, 2 тонны, 1000000 рублей
Лимон, Австрия, 50 тонн, 14850000 рублей
Петрушка, Германия, 50 тонн, 500000 рублей
Горчица, Перу, 30 тонн, 1250000 рублей
Котлеты (домашний полуфабрикат), Венгрия, 15 тонн, 500000 рублей
Морковь, Перу, 1 тонна, 1000000 рублей
Петрушка, Австралия, 20 тонн, 14850000 рублей
хлеб, Германия, 2 тонны, 14850000 рублей
Детское питание 7 банок, Перу, 10 тонн, 500000 рублей
Кефир, Аргентина, 15 тонн, 7050000 рублей
зерно, США, 20 тонн, 7050000 рублей
Лимон, Венгрия, 10 тонн, 14850000 рублей
Панировочные сухари, Германия, 10 тонн, 1250000 рублей
Котлеты (домашний полуфабрикат), Австрия, 20 тонн, 14850000 рублей
Горчица, Аргентина, 10 тонн, 12340000 рублей
Стручковая фасоль, Венгрия, 5 тонн, 1000000 рублей
Кефир, Австрия, 50 тонн, 7050000 рублей
Томатная паста, США, 30 тонн, 7050000 рублей
Рыбная консерва, Германия, 5 тонн, 12340000 рублей
Масло сливочное, Аргентина, 2 тонны, 7050000 рублей
хлеб, Австралия, 10 тонн, 12340000 рублей
Масло растительное, Китай, 15 тонн, 500000 рублей
Масло растительное, Австралия, 5 тонн, 7050000 рублей
Баллончик со сливками, Германия, 15 тонн, 12340000 рублей
Петрушка, Австралия, 5 тонн, 12340000 рублей
Горчица, Австралия, 15 тонн, 14850000 рублей
Кошачий корм, Австрия, 10 тонн, 500000 рублей
Консервированный горошек, Австралия, 15 тонн, 7050000 рублей
груши, Венгрия, 50 тонн, 7050000 рублей
Стручковая фасоль, Китай, 15 тонн, 14850000 рублей
Морковь, Китай, 50 тонн, 12340000 рублей
Горчица, Австрия, 10 тонн, 12340000 рублей
яблоки, Австрия, 20 тонн, 500000 рублей
Сахар коричневый, Венгрия, 30 тонн, 12340000 рублей
Картофель, Перу, 20 тонн, 1000000 рублей
Петрушка, Китай, 10 тонн, 1000000 рублей
Чеснок, Австралия, 20 тонн, 7050000 рублей
Курица (бедра или окорочка), Австрия, 1 тонна, 14850000 рублей
Суповой набор куриный, Аргентина, 15 тонн, 500000 рублей
хлеб, Австралия, 20 тонн, 14850000 рублей
Петрушка, Австрия, 5 тонн, 1250000 рублей
Рыбная консерва, Германия, 20 тонн, 7050000 рублей
Стручковая фасоль, Перу, 15 тонн, 1250000 рублей
Панировочные сухари, Аргентина, 5 тонн, 14850000 рублей
Детское питание 7 банок, Австралия, 10 тонн, 1000000 рублей
Детское питание 7 банок, Китай, 50 тонн, 14850000 рублей
Суповой набор мясной, Аргентина, 1 тонна, 1250000 рублей
Сахар коричневый, Перу, 20 тонн, 12340000 рублей
Кошачий корм, Перу, 10 тонн, 7050000 рублей
Кефир, Австралия, 1 тонна, 14850000 рублей
Кефир, США, 5 тонн, 14850000 рублей
Кефир, США, 20 тонн, 1000000 рублей
Кошачий корм, Венгрия, 30 тонн, 500000 рублей
Котлеты (домашний полуфабрикат), США, 50 тонн, 1000000 рублей
Чеснок, Перу, 5 тонн, 14850000 рублей
Чеснок, Перу, 10 тонн, 7050000 рублей
Стручковая фасоль, Австрия, 10 тонн, 7050000 рублей
Детское питание 7 банок, Перу, 5 тонн, 12340000 рублей
Кошачий корм, Австралия, 10 тонн, 500000 рублей
Масло растительное, США, 30 тонн, 500000 рублей
Суповой набор мясной, Аргентина, 30 тонн, 1000000 рублей
Лимон, Германия, 1 тонна, 500000 рублей
Масло растительное, Аргентина, 15 тонн, 14850000 рублей
Молоко детское, Перу, 2 тонны, 12340000 рублей
Масло растительное, Аргентина, 5 тонн, 1000000 рублей
Чеснок, Австралия, 10 тонн, 1000000 рублей
Кефир, Перу, 15 тонн, 500000 рублей
Кефир, Перу, 20 тонн, 12340000 рублей
Малиновое варенье, Аргентина, 1 тонна, 14850000 рублей
Стручковая фасоль, США, 2 тонны, 7050000 рублей
груши, Аргентина, 15 тонн, 14850000 рублей
Курица (бедра или окорочка), США, 30 тонн, 1000000 рублей
Картофель, Китай, 2 тонны, 1000000 рублей
Масло растительное, Австрия, 15 тонн, 500000 рублей
Панировочные сухари, Австралия, 50 тонн, 500000 рублей
Масло сливочное, Венгрия, 2 тонны, 1250000 рублей
Петрушка, Аргентина, 2 тонны, 1250000 рублей
Молоко детское, Австрия, 20 тонн, 1250000 рублей
Томатная паста, Венгрия, 5 тонн, 14850000 рублей
Горчица, Венгрия, 10 тонн, 12340000 рублей
Панировочные сухари, США, 2 тонны, 14850000 рублей
Картофель, Китай, 5 тонн, 500000 рублей
Суповой набор мясной, Венгрия, 1 тонна, 1000000 рублей
Детское питание 7 банок, Венгрия, 30 тонн, 7050000 рублей
Картофель, Перу, 15 тонн, 1000000 рублей
Творог, Венгрия, 15 тонн, 500000 рублей
Консервированный горошек, Австрия, 50 тонн, 1250000 рублей
яблоки, Перу, 20 тонн, 7050000 рублей
груши, Перу, 20 тонн, 7050000 рублей
Кефир, Перу, 1 тонна, 500000 рублей
Панировочные сухари, Китай, 2 тонны, 14850000 рублей
Сахар коричневый, Австрия, 20 тонн, 7050000 рублей
Творог, США, 30 тонн, 1000000 рублей
Курица (бедра или окорочка), Венгрия, 20 тонн, 7050000 рублей
Петрушка, Австралия, 30 тонн, 1000000 рублей
Чеснок, Германия, 1 тонна, 1250000 рублей
Масло сливочное, Венгрия, 2 тонны, 7050000 рублей
рыба, Австралия, 50 тонн, 1250000 рублей
Петрушка, Венгрия, 2 тонны, 14850000 рублей
Лимон, Австралия, 30 тонн, 12340000 рублей
Творог, Австралия, 2 тонны, 12340000 рублей
Суповой набор мясной, Австрия, 5 тонн, 1250000 рублей
Стручковая фасоль, Аргентина, 20 тонн, 12340000 рублей
Сгущенка, Австрия, 5 тонн, 1250000 рублей
Чеснок, Китай, 1 тонна, 12340000 рублей
Курица (бедра или окорочка), Китай, 50 тонн, 500000 рублей
Детское питание 7 банок, Аргентина, 50 тонн, 1000000 рублей
Суповой набор мясной, США, 50 тонн, 1000000 рублей
Масло сливочное, США, 2 тонны, 14850000 рублей
Петрушка, Перу, 20 тонн, 1250000 рублей
Консервированная кукуруза, Перу, 15 тонн, 1250000 рублей
Сгущенка, Австралия, 5 тонн, 500000 рублей
Консервированная кукуруза, Германия, 15 тонн, 12340000 рублей
яблоки, Аргентина, 2 тонны, 1250000 рублей
Консервированный горошек, Венгрия, 5 тонн, 7050000 рублей
Молоко детское, Аргентина, 1 тонна, 1250000 рублей
Фрикадельки (домашний полуфабрикат), Венгрия, 30 тонн, 500000 рублей
рыба, Австралия, 10 тонн, 1000000 рублей
Молоко детское, США, 2 тонны, 12340000 рублей
масло, Перу, 50 тонн, 1250000 рублей
Кефир, Австрия, 30 тонн, 14850000 рублей
шоколад, Перу, 50 тонн, 7050000 рублей
Суповой набор куриный, Перу, 50 тонн, 1000000 рублей
Котлеты (домашний полуфабрикат), Германия, 20 тонн, 1250000 рублей
яблоки, Германия, 10 тонн, 12340000 рублей
груши, Перу, 10 тонн, 12340000 рублей
Чеснок, США, 5 тонн, 1250000 рублей
Курица (бедра или окорочка), Аргентина, 30 тонн, 500000 рублей
зерно, Венгрия, 5 тонн, 14850000 рублей
Консервированный горошек, Китай, 2 тонны, 1250000 рублей
Панировочные сухари, Германия, 15 тонн, 1250000 рублей
Сгущенка, Австрия, 50 тонн, 1000000 рублей
Сметана, Китай, 1 тонна, 7050000 рублей
Детское питание 7 банок, Аргентина, 2 тонны, 1250000 рублей
Масло сливочное, Перу, 50 тонн, 1000000 рублей
Суповой набор мясной, Венгрия, 20 тонн, 14850000 рублей
Петрушка, США, 5 тонн, 1250000 рублей
Малиновое варенье, Аргентина, 15 тонн, 7050000 рублей
шоколад, Китай, 30 тонн, 1250000 рублей
Суповой набор мясной, Венгрия, 1 тонна, 14850000 рублей
Детское питание 7 банок, Венгрия, 2 тонны, 12340000 рублей
Молоко детское, Аргентина, 5 тонн, 1000000 рублей
Стручковая фасоль, Аргентина, 5 тонн, 12340000 рублей
Петрушка, Китай, 15 тонн, 1250000 рублей
груши, Австралия, 15 тонн, 14850000 рублей
Рыбная консерва, Китай, 20 тонн, 500000 рублей
Масло растительное, Венгрия, 50 тонн, 1000000 рублей
Суповой набор куриный, США, 2 тонны, 12340000 рублей
Суповой набор куриный, США, 20 тонн, 12340000 рублей
Петрушка, США, 15 тонн, 1250000 рублей
масло, Австрия, 10 тонн, 1000000 рублей
Сметана, Аргентина, 20 тонн, 12340000 рублей
Малиновое варенье, Китай, 5 тонн, 7050000 рублей
Баллончик со сливками, Аргентина, 10 тонн, 14850000 рублей
масло, Германия, 30 тонн, 1000000 рублей
Малиновое варенье, Австралия, 5 тонн, 1250000 рублей
зерно, Аргентина, 50 тонн, 500000 рублей
Кефир, Австрия, 1 тонна, 7050000 рублей
Томатная паста, Германия, 2 тонны, 7050000 рублей
Панировочные сухари, Германия, 50 тонн, 12340000 рублей
Котлеты (домашний полуфабрикат), Аргентина, 15 тонн, 1250000 рублей
хлеб, Венгрия, 2 тонны, 14850000 рублей
масло, Австралия, 20 тонн, 12340000 рублей
Масло растительное, Венгрия, 30 тонн, 7050000 рублей
Курица (бедра или окорочка), Германия, 2 тонны, 7050000 рублей
Масло сливочное, Перу, 5 тонн, 1250000 рублей
шоколад, Венгрия, 5 тонн, 500000 рублей
Кошачий корм, Аргентина, 5 тонн, 1250000 рублей
Морковь, Германия, 50 тонн, 500000 рублей
Кошачий корм, Австрия, 15 тонн, 7050000 рублей
Сыр, Австрия, 50 тонн, 12340000 рублей
Рыбная консерва, Китай, 10 тонн, 1250000 рублей
Фрикадельки (домашний полуфабрикат), Китай, 50 тонн, 1000000 рублей
Стручковая фасоль, Венгрия, 5 тонн, 7050000 рублей
Масло растительное, США, 5 тонн, 14850000 рублей
Консервированная кукуруза, Австрия, 10 тонн, 1250000 рублей
Консервированный горошек, Германия, 5 тонн, 12340000 рублей
Лимон, США, 10 тонн, 12340000 рублей
Стручковая фасоль, Австралия, 15 тонн, 7050000 рублей
Горчица, Перу, 15 тонн, 12340000 рублей
Стручковая фасоль, Китай, 5 тонн, 14850000 рублей
Томатная паста, Австрия, 10 тонн, 1000000 рублей
Котлеты (домашний полуфабрикат), Перу, 20 тонн, 1250000 рублей
Панировочные сухари, Китай, 2 тонны, 500000 рублей
